no,dosya,grup,bayt,sha256,kaynak,durum
26,03_KAYNAK_v0.4.0/public/content.js,03_KAYNAK_v0.4.0,26274,1cb167051d31a213d2445fe50a5b10c27823416db6965e898f7f8c9b82993c4a,naviar-care-studio/public/content.js,Özgün içerik korundu
27,03_KAYNAK_v0.4.0/public/demo.js,03_KAYNAK_v0.4.0,5778,cc5f2ae40e63dcd73c024bc7ec577347e47ffeb629b1e9fa8cc28147089a58c7,naviar-care-studio/public/demo.js,Özgün içerik korundu
28,03_KAYNAK_v0.4.0/public/index.html,03_KAYNAK_v0.4.0,652,e79f45702e5b36b8609c614a04d87409d930f0b7951f7b33f68bfdebfe7fb8ca,naviar-care-studio/public/index.html,Özgün içerik korundu
29,03_KAYNAK_v0.4.0/public/journey.js,03_KAYNAK_v0.4.0,1070,642ac80402ef5298625150b74057a569744a6fe897faa1fa07f4f3d708065f98,naviar-care-studio/public/journey.js,Özgün içerik korundu
30,03_KAYNAK_v0.4.0/public/operations.html,03_KAYNAK_v0.4.0,4168,319072528fc912ff272f3751f6e6ab6e05fdeb112bdc5662666c63b986b39531,naviar-care-studio/public/operations.html,Özgün içerik korundu
31,03_KAYNAK_v0.4.0/public/operations.js,03_KAYNAK_v0.4.0,4062,40854a080c5d33a792298b06293ee0e11ec55d59c237969c5368d2671405ba74,naviar-care-studio/public/operations.js,Özgün içerik korundu
32,03_KAYNAK_v0.4.0/public/qa.html,03_KAYNAK_v0.4.0,740,0bc071f8c99290ffad0f7e91abfe6004355a64485c7ad6dd0d7c6caba141c5b1,naviar-care-studio/public/qa.html,Özgün içerik korundu
33,03_KAYNAK_v0.4.0/public/qa.js,03_KAYNAK_v0.4.0,111,6505384ecc8d9077e7d0505ad4a6edf6c92781a3b87eadee87d6cd009e07a7a7,naviar-care-studio/public/qa.js,Özgün içerik korundu
34,03_KAYNAK_v0.4.0/public/render.js,03_KAYNAK_v0.4.0,8148,53d2ba06d944e7759085288861170c96227a1515b9b1691f057a7ebabd160c08,naviar-care-studio/public/render.js,Özgün içerik korundu
35,03_KAYNAK_v0.4.0/public/robots.txt,03_KAYNAK_v0.4.0,26,331ea9090db0c9f6f597bd9840fd5b171830f6e0b3ba1cb24dfa91f0c95aedc1,naviar-care-studio/public/robots.txt,Özgün içerik korundu
36,03_KAYNAK_v0.4.0/public/styles.css,03_KAYNAK_v0.4.0,15979,3b805fc636e833ebeb66a93d600fa355b5748ac981a9314f31f45d8b604f0843,naviar-care-studio/public/styles.css,Özgün içerik korundu
37,03_KAYNAK_v0.4.0/server.mjs,03_KAYNAK_v0.4.0,8363,be7f77de1b7384009662aedcc630878bc82ee6bbecf55a4680dc5aed3534ef25,naviar-care-studio/server.mjs,Özgün içerik korundu
38,03_KAYNAK_v0.4.0/src/domain.mjs,03_KAYNAK_v0.4.0,4243,7ff77e66b54246cbdaa38ba87fab7289c026e98f080064b88ddb43fee5767d1e,naviar-care-studio/src/domain.mjs,Özgün içerik korundu
39,03_KAYNAK_v0.4.0/src/providers.mjs,03_KAYNAK_v0.4.0,3310,5e27923f7760263c3a7a4bcfd4ccabaa6ad27c5fed300161df4467225498f315,naviar-care-studio/src/providers.mjs,Özgün içerik korundu
40,03_KAYNAK_v0.4.0/src/store.mjs,03_KAYNAK_v0.4.0,9316,6ea5c4b84516e6424786df8a8baea2803ee7b487820804ffa57c39aa6193e3bd,naviar-care-studio/src/store.mjs,Özgün içerik korundu
41,03_KAYNAK_v0.4.0/tests/journey.test.mjs,03_KAYNAK_v0.4.0,2250,62c3cec10f16e71a1b9ddac914be243cf0642b261719fefbc649f8af60c54d0a,naviar-care-studio/tests/journey.test.mjs,Özgün içerik korundu
42,03_KAYNAK_v0.4.0/tests/system.test.mjs,03_KAYNAK_v0.4.0,10197,0790c00cf7f947843e9692ce3e0d3a7ac65a479b92a0c01701bf9bd0cca65146,naviar-care-studio/tests/system.test.mjs,Özgün içerik korundu
43,03_KAYNAK_v0.4.0/vercel.json,03_KAYNAK_v0.4.0,421,c6bd8e5ae990d9e83da13afb1de77293a4bb3e7cf876ab78d9e0a4a478d98b2a,naviar-care-studio/vercel.json,Özgün içerik korundu
44,04_ONCEKI_SURUM_v0.3.0/NAVIAR-CARE_P-011_COOKIE1_KAYNAK_v0.3.0.zip,04_ONCEKI_SURUM_v0.3.0,131684,cf891ffdd3d3e7c0f7a0d7cbbd707b58a184422c0c4fdc2c0504cb89a271b6b1,/NAVIAR CARE/04_WEB_KAYNAKLARI/DRAFT-NC-COOKIE1_2026-09-05/NAVIAR-CARE_P-011_COOKIE1_KAYNAK_v0.3.0.zip,Özgün içerik korundu
45,04_ONCEKI_SURUM_v0.3.0/NAVIAR-CARE_P-011_COOKIE1_ONIZLEME.html,04_ONCEKI_SURUM_v0.3.0,80570,de3c28bfd4fc02c1005d6862c3b5ffa0386a811d06bce3f03c692890ad9e47bb,/NAVIAR CARE/04_WEB_KAYNAKLARI/DRAFT-NC-COOKIE1_2026-09-05/NAVIAR-CARE_P-011_COOKIE1_ONIZLEME.html,Özgün içerik korundu
46,04_ONCEKI_SURUM_v0.3.0/NAVIAR-CARE_TESLIM_RAPORU.md,04_ONCEKI_SURUM_v0.3.0,4412,fab554fe02626cf9ca3b803955aaccbcffa64e9072345abe54e3572a1d54d23a,/NAVIAR CARE/04_WEB_KAYNAKLARI/DRAFT-NC-COOKIE1_2026-09-05/NAVIAR-CARE_TESLIM_RAPORU.md,Özgün içerik korundu
47,05_KANIT_VE_KAYITLAR/NAVIAR-CARE_Arsiv-Kaydi_2026-09-05.md,05_KANIT_VE_KAYITLAR,2514,51b963fa4e51927308669ce0cdb536dbfe38b80c52b27529a1807a9bc3af95ec,/NAVIAR CARE/05_ARSIV_2026-09-05/NAVIAR-CARE_Arsiv-Kaydi_2026-09-05.md,Özgün içerik korundu
48,05_KANIT_VE_KAYITLAR/NAVIAR-CARE_P-011_STUDIO_KAYNAK_v0.4.0.zip,05_KANIT_VE_KAYITLAR,150413,761b8b32fffc7a9e1fd335a298d321666c508766461e23848125d1189e79f5e4,/NAVIAR-CARE_P-011_STUDIO_KAYNAK_v0.4.0.zip,Özgün içerik korundu
49,05_KANIT_VE_KAYITLAR/NAVIAR-CARE_P-011_STUDIO_RAPORU.md,05_KANIT_VE_KAYITLAR,15222,2267777fb635af7411079d05209b9fa896dc27bbb25d00aa9f8c4f2c909f57b0,/NAVIAR-CARE_P-011_STUDIO_RAPORU.md,Özgün içerik korundu
50,05_KANIT_VE_KAYITLAR/NAVIAR-CARE_PROJE-DUZENI.md,05_KANIT_VE_KAYITLAR,16769,c0b7300682f6ef65c960947468acfc26f587a0d9f7509b3a53e842012e18e9e4,/NAVIAR CARE/NAVIAR-CARE_PROJE-DUZENI.md,Özgün içerik korundu
51,05_KANIT_VE_KAYITLAR/P-011_COOKIE1_Arsiv_Dogrulama.json,05_KANIT_VE_KAYITLAR,625,54aca4537764fcb14c0242dcf4026a09aaf7527b8f318ea624877d9166d2883f,Bu arşiv turunda üretildi,Yeni belge / envanter
52,05_KANIT_VE_KAYITLAR/P-011_COOKIE1_Arsiv_Test_Tekrari.txt,05_KANIT_VE_KAYITLAR,1804,5030fd133dfbb2b97fcb4de38645145c5ce74d824bd2564e2cd3fab56579aa59,Bu arşiv turunda üretildi,Yeni belge / envanter
53,05_KANIT_VE_KAYITLAR/P-011_COOKIE1_Kaynak_Izi.json,05_KANIT_VE_KAYITLAR,18744,406e41cfe5991783c536c301d73eedfd3116cbcddd1cc750d560878b23bc62d1,Bu arşiv turunda üretildi,Yeni belge / envanter
54,05_KANIT_VE_KAYITLAR/P-011_DURUM_VE_KAYNAKLAR_2026-09-05.md,05_KANIT_VE_KAYITLAR,2812,bee9c6a101f49d895d81e505c9c3f07635d39b0aa85871166123b41d4649e0c1,/NAVIAR CARE/P-011_NAVIAR_CARE/P-011_DURUM_VE_KAYNAKLAR_2026-09-05.md,Özgün içerik korundu
55,05_KANIT_VE_KAYITLAR/P-011_NAVIAR_CARE.md,05_KANIT_VE_KAYITLAR,1420,053ba85cbc7be3a029954df031b9b90f2fc824565d326ece623cd17ab449f25c,/NAVIAR CARE/01_BELGELER/P-011_NAVIAR_CARE.md,Özgün içerik korundu
56,06_ICERIK_VE_API/P-011_COOKIE1_API_Envanteri.csv,06_ICERIK_VE_API,1410,95a697c5268a28e67bef91e62b3c58ead0ec34b5e27f35e135f75eb387ee0c96,Bu arşiv turunda üretildi,Yeni belge / envanter
57,06_ICERIK_VE_API/P-011_COOKIE1_Icerik_NB-EN-TR.csv,06_ICERIK_VE_API,26681,00e10724f5131bd741bcacd79a4fe242f967c65e27a88a5a5fc9ab988868d2ae,Bu arşiv turunda üretildi,Yeni belge / envanter
